dimension	local_index	grid	displacement_angstrom	maximum_angle_degrees	principal_angles_degrees	bottom_eigenvalues
15	9	144	0.05	0.033210064392028865	[0.033210064392028865,0.010301190967795946]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
16	0	128	-0.05	0.01376758165178993	[0.01376758165178993,0.004369775499684027]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
16	1	128	-0.025	8.896059194717021e-05	[8.896059194717021e-05,2.8174530326302883e-05]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
16	2	128	0.0	0.0011960095064050672	[0.0011960095064050672,4.880718601561057e-05]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
16	3	128	0.025	0.0004826759303390922	[0.0004826759303390922,4.363443244452969e-05]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
16	4	128	0.05	0.011983066939230467	[0.011983066939230467,0.006849163497810815]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
16	5	144	-0.05	0.01334109169550728	[0.01334109169550728,0.0017301707669649677]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
16	6	144	-0.025	0.000563020187864939	[0.000563020187864939,8.503945534077155e-05]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
16	7	144	0.0	0.0013248074748901297	[0.0013248074748901297,6.0195583238615304e-05]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
16	8	144	0.025	0.0008692036318082605	[0.0008692036318082605,8.227295285127725e-05]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
16	9	144	0.05	0.011376877633850896	[0.011376877633850896,0.0009006174880185608]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
17	0	128	-0.05	0.004406372770677503	[0.004406372770677503,0.003761940317180919]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
17	1	128	-0.025	2.8712700944828915e-05	[2.8712700944828915e-05,2.4979263396123047e-05]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
17	2	128	0.0	0.0006063668495270166	[0.0006063668495270166,4.796354146214209e-05]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
17	3	128	0.025	0.00015130593805844512	[0.00015130593805844512,1.142271288210643e-05]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
17	4	128	0.05	0.01030034950644823	[0.01030034950644823,0.002457080307560229]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
